dataset_variant,label_type,label,count,percent
full_dataset,artist,Unknown Artist,41914,51.4636
full_dataset,artist,vincent-van-gogh,1889,2.3194
full_dataset,artist,nicholas-roerich,1819,2.2334
full_dataset,artist,pierre-auguste-renoir,1400,1.719
full_dataset,artist,claude-monet,1334,1.6379
full_dataset,artist,pyotr-konchalovsky,919,1.1284
full_dataset,artist,camille-pissarro,887,1.0891
full_dataset,artist,john-singer-sargent,784,0.9626
full_dataset,artist,rembrandt,776,0.9528
full_dataset,artist,marc-chagall,765,0.9393
full_dataset,artist,pablo-picasso,762,0.9356
full_dataset,artist,gustave-dore,753,0.9246
full_dataset,artist,albrecht-durer,695,0.8533
full_dataset,artist,boris-kustodiev,633,0.7772
full_dataset,artist,edgar-degas,611,0.7502
full_dataset,artist,paul-cezanne,579,0.7109
full_dataset,artist,ivan-aivazovsky,577,0.7085
full_dataset,artist,martiros-saryan,575,0.706
full_dataset,artist,eugene-boudin,555,0.6814
full_dataset,artist,childe-hassam,550,0.6753
full_dataset,artist,ilya-repin,539,0.6618
full_dataset,artist,ivan-shishkin,520,0.6385
full_dataset,artist,raphael-kirchner,516,0.6336
full_dataset,artist,salvador-dali,479,0.5881
full_dataset,artist,alfred-sisley,464,0.5697
full_dataset,artist,camille-corot,456,0.5599
full_dataset,artist,isaac-levitan,424,0.5206
full_dataset,artist,henri-matisse,415,0.5096
full_dataset,artist,maurice-prendergast,362,0.4445
full_dataset,artist,paul-gauguin,359,0.4408
full_dataset,artist,william-merritt-chase,354,0.4347
full_dataset,artist,amedeo-modigliani,344,0.4224
full_dataset,artist,james-tissot,341,0.4187
full_dataset,artist,ernst-ludwig-kirchner,340,0.4175
full_dataset,artist,joaquã­n-sorolla,335,0.4113
full_dataset,artist,zinaida-serebriakova,329,0.404
full_dataset,artist,henri-de-toulouse-lautrec,324,0.3978
full_dataset,artist,konstantin-makovsky,324,0.3978
full_dataset,artist,sam-francis,317,0.3892
full_dataset,artist,mary-cassatt,293,0.3598
full_dataset,artist,peter-paul-rubens,259,0.318
full_dataset,artist,gustave-loiseau,256,0.3143
full_dataset,artist,david-burliuk,248,0.3045
full_dataset,artist,konstantin-korovin,247,0.3033
full_dataset,artist,thomas-eakins,240,0.2947
full_dataset,artist,vasily-surikov,238,0.2922
full_dataset,artist,lucian-freud,234,0.2873
full_dataset,artist,aleksey-savrasov,230,0.2824
full_dataset,artist,egon-schiele,226,0.2775
